elements,imageUrlPath,studioEmail,styles,name
"mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2017/03/17190487_1049823345162808_7660716168883458107_n.jpg,edgar2490salazar@gmail.com,old school,cuervo black work
"mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2017/03/15390688_988251417986668_6056048576360056018_n.jpg,edgar2490salazar@gmail.com,old school,ROSE BLACK WORK
"mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2017/03/16806667_1039803156164827_3213730380693933341_n.jpg,edgar2490salazar@gmail.com,Japones,PEONY
"mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2017/03/16708727_1032769020201574_523551200091736639_n.jpg,edgar2490salazar@gmail.com,Cartoon,IRON MAN CARTOON
"mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2017/03/FB_IMG_1474867756777.jpg,edgar2490salazar@gmail.com,Animal,TIGER
"mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2017/03/FB_IMG_1474867745062.jpg,edgar2490salazar@gmail.com,old school,TRABAJO POR NEGRO SALAZAR
"mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2017/03/IMG_20160229_095925.jpg,edgar2490salazar@gmail.com,old school,RAT
"mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2017/03/PicsArt_11-07-10.58.55.jpg,edgar2490salazar@gmail.com,old school,SNAKE AND PEONY
"mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2017/03/IMG-20151222-WA0032.jpg,edgar2490salazar@gmail.com,Animal,BIRD
"mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2017/03/FB_IMG_1474867670177.jpg,edgar2490salazar@gmail.com,old school,PANTERA
"mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2017/03/FB_IMG_1474867643180-1.jpg,edgar2490salazar@gmail.com,Japones,KOI FISH
tatuaje,http://latatuadora.com/wp-content/uploads/2016/10/11873694_702949153183564_2705452169845945257_n.jpg,edgar2490salazar@gmail.com,old school,lobo por negro
tatuaje,http://latatuadora.com/wp-content/uploads/2016/10/11182309_644650662346747_2204399564272502519_n.jpg,edgar2490salazar@gmail.com,old school,GALLO HECHO POR NEGRO SALAZAR
tatuaje,http://latatuadora.com/wp-content/uploads/2016/10/FB_IMG_1474867738038.jpg,edgar2490salazar@gmail.com,,NEO TRADICIONAL TRABAJO POR NEGRO SALAZAR
tatuaje,http://latatuadora.com/wp-content/uploads/2016/10/FB_IMG_1474867678601.jpg,edgar2490salazar@gmail.com,"Cartoon, Horror",HOMERO ZOMBIE POR NEGRO SALAZAR
tatuaje,http://latatuadora.com/wp-content/uploads/2016/10/FB_IMG_1474867614391-1.jpg,edgar2490salazar@gmail.com,old school,TRABAJO POR NEGRO SALAZAR
Blackwork,http://latatuadora.com/wp-content/uploads/2016/10/FB_IMG_1474867592691.jpg,edgar2490salazar@gmail.com,old school,BLACKWORK POR NEGRO SALAZAR
tatuaje,http://latatuadora.com/wp-content/uploads/2016/09/PicsArt_08-28-05.50.24.jpg,edgar2490salazar@gmail.com,old school,LOBO NEO TRADICIONAL POR NEGRO SALAZAR
Geométrico,http://latatuadora.com/wp-content/uploads/2017/07/WP_20150610_010.jpg,leonardo_sanchezlopez@yahoo.com.mx,Geométrico,Flecha lineas
,http://latatuadora.com/wp-content/uploads/2016/09/IMG-20160817-WA0013.jpg,leonardo_sanchezlopez@yahoo.com.mx,Geométrico,Geometría bicolor
,http://latatuadora.com/wp-content/uploads/2016/09/IMG-20160817-WA0011.jpg,leonardo_sanchezlopez@yahoo.com.mx,Geométrico,Geometría sagrada
,http://latatuadora.com/wp-content/uploads/2016/09/IMG-20160817-WA0009.jpg,leonardo_sanchezlopez@yahoo.com.mx,,Rinho blackwork
,http://latatuadora.com/wp-content/uploads/2016/09/IMG-20160817-WA0008.jpg,leonardo_sanchezlopez@yahoo.com.mx,,Búho color neotradicional
,http://latatuadora.com/wp-content/uploads/2016/09/IMG-20160817-WA0007.jpg,leonardo_sanchezlopez@yahoo.com.mx,,WOLF PURE BLACKWORK
,http://latatuadora.com/wp-content/uploads/2016/05/IMG-20160427-WA0022.jpg,leonardo_sanchezlopez@yahoo.com.mx,,ESCARABAJO BLACKWORK
,http://latatuadora.com/wp-content/uploads/2016/05/IMG-20160427-WA0020.jpg,leonardo_sanchezlopez@yahoo.com.mx,,ABSTRACT EYE
,http://latatuadora.com/wp-content/uploads/2016/05/IMG-20160427-WA0019.jpg,leonardo_sanchezlopez@yahoo.com.mx,,ESCARABAJO SKETCH
,http://latatuadora.com/wp-content/uploads/2016/05/IMG-20160427-WA0018.jpg,leonardo_sanchezlopez@yahoo.com.mx,,Corazón Geometría sagrada
,http://latatuadora.com/wp-content/uploads/2016/05/IMG-20160427-WA0017.jpg,leonardo_sanchezlopez@yahoo.com.mx,,Abstract tattoo
,http://latatuadora.com/wp-content/uploads/2016/05/IMG-20160427-WA0016.jpg,leonardo_sanchezlopez@yahoo.com.mx,,Diamond Hearth
,http://latatuadora.com/wp-content/uploads/2016/05/IMG-20160427-WA0015.jpg,leonardo_sanchezlopez@yahoo.com.mx,,Line Blackwork
,http://latatuadora.com/wp-content/uploads/2016/05/IMG-20160427-WA0014.jpg,leonardo_sanchezlopez@yahoo.com.mx,New School,ROSA AMARILLA
,http://latatuadora.com/wp-content/uploads/2016/05/IMG-20160427-WA0013.jpg,leonardo_sanchezlopez@yahoo.com.mx,,Pure sketch
,http://latatuadora.com/wp-content/uploads/2016/05/IMG-20160427-WA0008.jpg,leonardo_sanchezlopez@yahoo.com.mx,,Golondrina (Sasha U.)
,http://latatuadora.com/wp-content/uploads/2016/05/IMG-20160427-WA0007.jpg,leonardo_sanchezlopez@yahoo.com.mx,,Espiral abstracto
,http://latatuadora.com/wp-content/uploads/2016/05/IMG-20160427-WA0005.jpg,leonardo_sanchezlopez@yahoo.com.mx,,Polilla bicolor
,http://latatuadora.com/wp-content/uploads/2016/05/IMG-20160427-WA0004.jpg,leonardo_sanchezlopez@yahoo.com.mx,,Calamar bicolor
,http://latatuadora.com/wp-content/uploads/2016/05/IMG-20160427-WA0002-1.jpg,leonardo_sanchezlopez@yahoo.com.mx,,Koi sketch bicolor
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/09/image-4.jpeg,gerardo_valerio2785@hotmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",Blood fire por Mr Vander Valerio
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/09/image-3.jpeg,gerardo_valerio2785@hotmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",Blood in Blood Oüt por Mr Vander valerio
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2016/09/image-2.jpeg,gerardo_valerio2785@hotmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",Neo tradicional por Mr Vander Valerio
,http://latatuadora.com/wp-content/uploads/2016/04/13043612_1568443856819774_6416134973582097035_n.jpg,gerardo_valerio2785@hotmail.com,,
,http://latatuadora.com/wp-content/uploads/2016/04/13051645_1566221270375366_4951056218620095436_n.jpg,gerardo_valerio2785@hotmail.com,,
,http://latatuadora.com/wp-content/uploads/2016/04/12963821_1561240790873414_8108113817645042711_n.jpg,gerardo_valerio2785@hotmail.com,,
,http://latatuadora.com/wp-content/uploads/2016/04/13012701_1560777200919773_790831292784019452_n.jpg,gerardo_valerio2785@hotmail.com,,
,http://latatuadora.com/wp-content/uploads/2016/04/13001331_1560414380956055_8289552463144235940_n.jpg,gerardo_valerio2785@hotmail.com,,
,http://latatuadora.com/wp-content/uploads/2016/04/12991087_1559573744373452_2950312798096641896_n.jpg,gerardo_valerio2785@hotmail.com,,
,http://latatuadora.com/wp-content/uploads/2016/04/1517707_1545927232404770_8455035605347045226_n.jpg,gerardo_valerio2785@hotmail.com,,
,http://latatuadora.com/wp-content/uploads/2016/04/12688367_1530858703911623_454391557248507903_n.jpg,gerardo_valerio2785@hotmail.com,,
,http://latatuadora.com/wp-content/uploads/2016/04/12552852_1518379545159539_8820416300619343823_n.jpg,gerardo_valerio2785@hotmail.com,,
,http://latatuadora.com/wp-content/uploads/2016/04/12573904_1513531048977722_4630969526547652036_n.jpg,gerardo_valerio2785@hotmail.com,,
"Ilustración, mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2016/08/tat1.jpg,chucho@drawz.mx,"abstracto, Cartoon, Fantasía, Figurativo, Japones, Latino, New School, old school",Pieza final
Blackwork,http://latatuadora.com/wp-content/uploads/2016/08/tat.jpg,chucho@drawz.mx,"Fantasía, Figurativo, Latino",Proceso
,http://latatuadora.com/wp-content/uploads/2016/08/13497692_10154637627286874_5131706097018067409_o.jpg,chucho@drawz.mx,,This too shall pass
"Acuarela, Ilustración, mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2016/07/13920549_10154707068621874_4909728270057544921_o.jpg,chucho@drawz.mx,"Cartoon, Fantasía, Latino, New School",Girasol/Sunflower
"Acuarela, estudio, Geométrico, Ilustración, mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2016/07/13701229_10154696958296874_5902390616306101729_o.jpg,chucho@drawz.mx,"Animal, Cartoon, Dot Work, Japones, Latino, New School, old school",Pokemon Trendy
"Acuarela, Bosquejo, estudio, Ilustración, mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2016/07/13765918_10154677176646874_3666988525903551902_o.jpg,chucho@drawz.mx,"abstracto, Asiático, Cartoon, Fantasía, Figurativo, Japones, Latino, New School, old school, Religioso",Sketch: Lotus Mind
"Blackwork, Bosquejo, estudio, Ilustración, mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2016/07/13765792_10154669188431874_4425500504407773623_o.jpg,chucho@drawz.mx,"Asiático, Cartoon, Fantasía, Figurativo, Japones, Latino, New School, old school",Sketch: Shut up!
"Blackwork, Ilustración, mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2016/07/13767238_10154681822316874_4752335365235749661_o.jpg,chucho@drawz.mx,"Animal, Cartoon, Dot Work, Figurativo, Japones, Latino, New School",Father and son / Padre e hijo
"Blackwork, Ilustración, mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2016/07/13723912_10154665793741874_5519311543018685614_o.jpg,chucho@drawz.mx,"Cartoon, Dot Work, Fantasía, Figurativo, Gótico, Horror, Japones, Latino, New School, Religioso, Skull",Piedra del Sol
"Bosquejo, estudio, Ilustración, mexico",http://latatuadora.com/wp-content/uploads/2016/07/13661805_10154704098471874_412148167555046815_o.jpg,chucho@drawz.mx,"Cartoon, Figurativo, Latino",Sketch: I'll stop the world and melt with you
"Blackwork, Ilustración, mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2016/07/13584853_10154632622586874_5432470272115534092_o.jpg,chucho@drawz.mx,"abstracto, Figurativo, New School",Couple Icon.
,http://latatuadora.com/wp-content/uploads/2016/07/13603478_10154639463036874_2435841218245004908_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/07/13568776_10154639328056874_5528325163657824566_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/07/13568759_10154627672646874_5551267748127782427_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/07/13517384_10154627619086874_5066530170123424756_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/07/13502962_10154616976766874_2471656844600258368_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/06/image-17.jpeg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/06/13131208_10154493757156874_423979946488875591_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/06/13558871_10154616949336874_6180411551226990440_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/06/13502603_10154616673706874_7880971335195321029_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/06/13483321_10154603916506874_5864512297781043775_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/06/13443288_10154575664776874_898626143908084266_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/06/13475203_10154591246501874_7335417581404921019_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/06/13475200_10154603585531874_5491405215943906520_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/06/13475068_10154605746936874_4217503767300044875_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/06/13433152_10154572078456874_3229188527968173844_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/06/13422237_10154590546981874_2652312543979953544_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/06/13392107_10154572067016874_5480696840813214942_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/06/13340260_10154555611536874_3795381240285046044_o.jpg,chucho@drawz.mx,,
"Acuarela, Ilustración, mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2016/06/13246387_10154530288066874_3118884026914608401_o.jpg,chucho@drawz.mx,"Asiático, Cartoon, Japones, Latino, New School, old school","Galactic Aztec Totem, Star Wars"
,http://latatuadora.com/wp-content/uploads/2016/05/cris.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/05/10533329_10152706685916874_7065521463828651468_n.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/05/10401414_10152706462751874_6365983295232134926_n.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/05/1380259_10152948160326874_2628802141030936444_n.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/05/1483382_10152955237196874_9192992138960234624_n.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/05/10993411_10153250895046874_6207431679051988878_n.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/05/10427221_10152968415501874_218299512363127302_n.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/05/11893954_10153756111596874_430870787252808642_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/05/11900089_10153790122361874_313508307715023438_n.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/05/12794915_10154298446121874_8159773689018429209_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/05/12771710_10154298444816874_1155386904108143713_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/05/12764482_10154269580851874_1218548052772632915_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/05/12710728_10154265021596874_8623443581472311288_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/05/12615366_10154193801806874_4084347693673094301_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/05/12495951_10154298445311874_8336738763569343932_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/05/12493422_10154175742056874_7570450882658974112_o.jpg,chucho@drawz.mx,,
,http://latatuadora.com/wp-content/uploads/2016/05/12400957_10154181038691874_3576347538364142462_n.jpg,chucho@drawz.mx,,
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/04/17635230_811141819039842_9083005767352114923_o.jpg,cesparamo@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",ramo de flores
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/04/17309959_797808817039809_1407100444561172521_o.jpg,cesparamo@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",mujer huichol
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/04/16177797_768229476664410_4327412760292677089_o.jpg,cesparamo@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",huichol
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/04/15259789_734924079994950_2104503848667064818_o.jpg,cesparamo@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",sistemas
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/04/15235730_734924189994939_827267823462765956_o.jpg,cesparamo@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",sistema
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/04/15137508_734924183328273_2479751202814411524_o.jpg,cesparamo@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",sisetma solar
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/04/17758270_811121395708551_6377264987381890412_o.jpg,cesparamo@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",colibrí
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/04/17545466_806745996146091_3694426226664296789_o.jpg,cesparamo@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",flores
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/04/17436016_806740886146602_981659502650259767_o.jpg,cesparamo@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",botanicus
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/04/17240362_798304330323591_7315113630079495257_o.jpg,cesparamo@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",café arábigo
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/04/17239920_801210776699613_1357531526321797723_o.jpg,cesparamo@gmail.com,"abstracto, Acuarela, Animal, Asiático, Biomecánica, Cartoon, Celta, Dot Work, Fantasía, Figurativo, Geométrico, Gótico, Horror, Insecto, Japones, Latino, Lorem Ipsum, New School, old school, Ornamental, Polinesio, Realismo, Religioso, Skull, Tribal",cempasúchil y violeta
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/04/17191717_794933150660709_241188870608781338_o.jpg,cesparamo@gmail.com,"Animal, Cartoon, Fantasía, Figurativo, Geométrico, Insecto, Ornamental",insecto
"Acuarela, Berlín, Blackwork, Bosquejo, estudio, Geométrico, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/04/15252636_734926176661407_5802881539938839624_o.jpg,cesparamo@gmail.com,"abstracto, Dot Work, Fantasía, Figurativo, Ornamental",mujercita vengadora 2
"Blackwork, Bosquejo, estudio, Ilustración, mexico, tatuaje, Trash polka, Viajes",http://latatuadora.com/wp-content/uploads/2017/04/15194371_734916239995734_2447807017829872246_o.jpg,cesparamo@gmail.com,"Animal, Dot Work, Fantasía, Figurativo, Ornamental, Realismo",unicornio
"Blackwork, Bosquejo, estudio, Ilustración, mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2017/04/15974963_766037060216985_364488892476752586_o-1.jpg,cesparamo@gmail.com,"Animal, Fantasía, Insecto, Ornamental, Realismo",naturaleza
"Blackwork, Geométrico, Ilustración, mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2017/04/15418520_746625448824813_5993534683827579888_o.jpg,cesparamo@gmail.com,Ornamental,rosa y peonias
"Ilustración, mexico, tatuaje",http://latatuadora.com/wp-content/uploads/2017/04/15403632_747315578755800_827515458836728231_o.jpg,cesparamo@gmail.com,Ornamental,flores
,http://latatuadora.com/wp-content/uploads/2016/09/13902633_677926035694755_3222961483884712667_n.jpg,cesparamo@gmail.com,,
,http://latatuadora.com/wp-content/uploads/2016/09/13925381_675020575985301_5883850364067201077_n.jpg,cesparamo@gmail.com,,
